used,"x, 2theta (deg)",obs,calc,bkg,diff,Gd2Zr2O7,tick-pos,diff/sigma,Axis-limits
1,22.53,19540,19825.860522306706,19825.860522306706,-2330.060522, , ,182.8297021821126, 
1,22.54,19753.3,19822.844356656642,19822.844356656642,-2113.744357, , ,183.79336223052235, 
1,22.55,19743.3,19819.828526030164,19819.828526030164,-2120.728526, , ,184.87833837418594, 
1,22.56,19703.3,19816.81303229826,19816.81303229826,-2157.713032, , ,184.36377084449103, 
1,22.57,19810,19813.79787732981,19813.79787732981,-2047.997877, , ,183.55734798694385, 
1,22.58,19386.7,19810.783062991508,19810.783062991508,-2468.283063, , ,184.89645751068352, 
1,22.59,19670,19807.768591147946,19807.768591147946,-2181.968591, , ,184.1920194, 
1,22.6,19786.7,19804.754463661542,19804.754463661542,-2062.254464, , ,184.3548209, 
1,22.61,19743.3,19801.740682392596,19801.740682392596,-2102.640682, , ,183.53010652206356, 
1,22.62,20200,19798.72724919927,19798.72724919927,-1642.927249, , ,184.52642087245934, 
1,22.63,19636.7,19795.714165937552,19795.714165937552,-2203.214166, , ,185.61600146539092, 
1,22.64,19500,19792.701434461338,19792.701434461338,-2336.901434, , ,185.1215816699933, 
1,22.65,19960,19789.68905662235,19789.68905662235,-1873.889057, , ,184.5624555536689, 
1,22.66,19620,19786.677034270193,19786.677034270193,-2210.877034, , ,185.4904310200394, 
1,22.67,19726.7,19783.665369252332,19783.665369252332,-2101.165369, , ,185.43651204657618, 
1,22.68,19820,19780.654063414102,19780.654063414102,-2004.854063, , ,185.68791021496256, 
1,22.69,19656.7,19777.643118598688,19777.643118598688,-2165.143119, , ,183.86598380342133, 
1,22.7,19710,19774.632536647154,19774.632536647154,-2108.832537, , ,184.5445745612696, 
1,22.71,19783.3,19771.62231939843,19771.62231939843,-2032.522319, , ,185.00459453754112, 
1,22.72,20090,19768.612468689324,19768.612468689324,-1722.812469, , ,184.99540534834915, 
1,22.73,19730,19765.602986354486,19765.602986354486,-2079.802986, , ,184.86021746173512, 
1,22.74,19916.7,19762.593874226466,19762.593874226466,-1890.093874, , ,185.5712801055163, 
1,22.75,19896.7,19759.585134135665,19759.585134135665,-1907.085134, , ,185.22067919106655, 
1,22.76,19643.3,19756.576767910374,19756.576767910374,-2157.476768, , ,186.10937644299386, 
1,22.77,19380,19753.568777376735,19753.568777376735,-2417.768777, , ,187.10077498503313, 
1,22.78,19560,19750.56116435878,19750.56116435878,-2234.761164, , ,186.61002116713883, 
1,22.79,19620,19747.55393067841,19747.55393067841,-2171.753931, , ,184.50826539751546, 
